Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;04 Balears, Illes;Hombres;Total;Total;3.424
Total Nacional;04 Balears, Illes;Hombres;Total;Usuario experto;790
Total Nacional;04 Balears, Illes;Hombres;Total;Usuario de nivel avanzado;1.973
Total Nacional;04 Balears, Illes;Hombres;Total;Usuario de nivel básico;622
Total Nacional;04 Balears, Illes;Hombres;Total;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Hombres;Total;No consta;39
Total Nacional;04 Balears, Illes;Hombres;Centro Público;Total;1.889
Total Nacional;04 Balears, Illes;Hombres;Centro Público;Usuario experto;455
Total Nacional;04 Balears, Illes;Hombres;Centro Público;Usuario de nivel avanzado;1.028
Total Nacional;04 Balears, Illes;Hombres;Centro Público;Usuario de nivel básico;406
Total Nacional;04 Balears, Illes;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Hombres;Centro Público;No consta;0
Total Nacional;04 Balears, Illes;Hombres;Centro Privado;Total;1.535
Total Nacional;04 Balears, Illes;Hombres;Centro Privado;Usuario experto;335
Total Nacional;04 Balears, Illes;Hombres;Centro Privado;Usuario de nivel avanzado;945
Total Nacional;04 Balears, Illes;Hombres;Centro Privado;Usuario de nivel básico;216
Total Nacional;04 Balears, Illes;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Hombres;Centro Privado;No consta;39
Total Nacional;04 Balears, Illes;Mujeres;Total;Total;3.753
Total Nacional;04 Balears, Illes;Mujeres;Total;Usuario experto;272
Total Nacional;04 Balears, Illes;Mujeres;Total;Usuario de nivel avanzado;2.537
Total Nacional;04 Balears, Illes;Mujeres;Total;Usuario de nivel básico;944
Total Nacional;04 Balears, Illes;Mujeres;Total;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Mujeres;Total;No consta;0
Total Nacional;04 Balears, Illes;Mujeres;Centro Público;Total;2.128
Total Nacional;04 Balears, Illes;Mujeres;Centro Público;Usuario experto;154
Total Nacional;04 Balears, Illes;Mujeres;Centro Público;Usuario de nivel avanzado;1.383
Total Nacional;04 Balears, Illes;Mujeres;Centro Público;Usuario de nivel básico;591
Total Nacional;04 Balears, Illes;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Mujeres;Centro Público;No consta;0
Total Nacional;04 Balears, Illes;Mujeres;Centro Privado;Total;1.625
Total Nacional;04 Balears, Illes;Mujeres;Centro Privado;Usuario experto;118
Total Nacional;04 Balears, Illes;Mujeres;Centro Privado;Usuario de nivel avanzado;1.154
Total Nacional;04 Balears, Illes;Mujeres;Centro Privado;Usuario de nivel básico;353
Total Nacional;04 Balears, Illes;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;04 Balears, Illes;Mujeres;Centro Privado;No consta;0
