Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;13 Madrid, Comunidad de;Hombres;Total;Usuario experto;6.753
Total Nacional;13 Madrid, Comunidad de;Hombres;Total;Usuario de nivel avanzado;13.136
Total Nacional;13 Madrid, Comunidad de;Hombres;Total;Usuario de nivel básico;2.106
Total Nacional;13 Madrid, Comunidad de;Hombres;Total;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Hombres;Total;No consta;191
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Público;Total;10.234
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Público;Usuario experto;3.061
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Público;Usuario de nivel avanzado;5.547
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Público;Usuario de nivel básico;1.435
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Público;No consta;191
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Privado;Total;11.952
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Privado;Usuario experto;3.692
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Privado;Usuario de nivel avanzado;7.588
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Privado;Usuario de nivel básico;671
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Hombres;Centro Privado;No consta;0
Total Nacional;13 Madrid, Comunidad de;Mujeres;Total;Total;23.050
Total Nacional;13 Madrid, Comunidad de;Mujeres;Total;Usuario experto;1.241
Total Nacional;13 Madrid, Comunidad de;Mujeres;Total;Usuario de nivel avanzado;15.517
Total Nacional;13 Madrid, Comunidad de;Mujeres;Total;Usuario de nivel básico;6.291
Total Nacional;13 Madrid, Comunidad de;Mujeres;Total;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Mujeres;Total;No consta;0
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Público;Total;10.967
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Público;Usuario experto;724
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Público;Usuario de nivel avanzado;7.035
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Público;Usuario de nivel básico;3.207
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Público;No consta;0
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Privado;Total;12.083
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Privado;Usuario experto;517
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Privado;Usuario de nivel avanzado;8.482
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Privado;Usuario de nivel básico;3.084
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;13 Madrid, Comunidad de;Mujeres;Centro Privado;No consta;0
Total Nacional;14 Murcia, Región de;Ambos sexos;Total;Total;11.564
Total Nacional;14 Murcia, Región de;Ambos sexos;Total;Usuario experto;1.841
Total Nacional;14 Murcia, Región de;Ambos sexos;Total;Usuario de nivel avanzado;7.654
Total Nacional;14 Murcia, Región de;Ambos sexos;Total;Usuario de nivel básico;2.013
Total Nacional;14 Murcia, Región de;Ambos sexos;Total;No usuario de las TIC;56
Total Nacional;14 Murcia, Región de;Ambos sexos;Total;No consta;0
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Público;Total;7.830
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Público;Usuario experto;1.284
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Público;Usuario de nivel avanzado;5.084
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Público;Usuario de nivel básico;1.405
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Público;No usuario de las TIC;56
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Público;No consta;0
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Privado;Total;3.734
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Privado;Usuario experto;557
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;2.569
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Privado;Usuario de nivel básico;607
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;14 Murcia, Región de;Ambos sexos;Centro Privado;No consta;0
Total Nacional;14 Murcia, Región de;Hombres;Total;Total;5.480
Total Nacional;14 Murcia, Región de;Hombres;Total;Usuario experto;1.441
Total Nacional;14 Murcia, Región de;Hombres;Total;Usuario de nivel avanzado;3.241
Total Nacional;14 Murcia, Región de;Hombres;Total;Usuario de nivel básico;743
Total Nacional;14 Murcia, Región de;Hombres;Total;No usuario de las TIC;56
Total Nacional;14 Murcia, Región de;Hombres;Total;No consta;0
Total Nacional;14 Murcia, Región de;Hombres;Centro Público;Total;3.720
Total Nacional;14 Murcia, Región de;Hombres;Centro Público;Usuario experto;1.053
Total Nacional;14 Murcia, Región de;Hombres;Centro Público;Usuario de nivel avanzado;2.107
Total Nacional;14 Murcia, Región de;Hombres;Centro Público;Usuario de nivel básico;504
Total Nacional;14 Murcia, Región de;Hombres;Centro Público;No usuario de las TIC;56
Total Nacional;14 Murcia, Región de;Hombres;Centro Público;No consta;0
Total Nacional;14 Murcia, Región de;Hombres;Centro Privado;Total;1.760
Total Nacional;14 Murcia, Región de;Hombres;Centro Privado;Usuario experto;387
Total Nacional;14 Murcia, Región de;Hombres;Centro Privado;Usuario de nivel avanzado;1.134
Total Nacional;14 Murcia, Región de;Hombres;Centro Privado;Usuario de nivel básico;239
Total Nacional;14 Murcia, Región de;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;14 Murcia, Región de;Hombres;Centro Privado;No consta;0
Total Nacional;14 Murcia, Región de;Mujeres;Total;Total;6.084
Total Nacional;14 Murcia, Región de;Mujeres;Total;Usuario experto;401
Total Nacional;14 Murcia, Región de;Mujeres;Total;Usuario de nivel avanzado;4.413
Total Nacional;14 Murcia, Región de;Mujeres;Total;Usuario de nivel básico;1.270
Total Nacional;14 Murcia, Región de;Mujeres;Total;No usuario de las TIC;0
Total Nacional;14 Murcia, Región de;Mujeres;Total;No consta;0
Total Nacional;14 Murcia, Región de;Mujeres;Centro Público;Total;4.110
Total Nacional;14 Murcia, Región de;Mujeres;Centro Público;Usuario experto;231
Total Nacional;14 Murcia, Región de;Mujeres;Centro Público;Usuario de nivel avanzado;2.978
Total Nacional;14 Murcia, Región de;Mujeres;Centro Público;Usuario de nivel básico;902
Total Nacional;14 Murcia, Región de;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;14 Murcia, Región de;Mujeres;Centro Público;No consta;0
Total Nacional;14 Murcia, Región de;Mujeres;Centro Privado;Total;1.974
Total Nacional;14 Murcia, Región de;Mujeres;Centro Privado;Usuario experto;170
Total Nacional;14 Murcia, Región de;Mujeres;Centro Privado;Usuario de nivel avanzado;1.435
Total Nacional;14 Murcia, Región de;Mujeres;Centro Privado;Usuario de nivel básico;369
Total Nacional;14 Murcia, Región de;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;14 Murcia, Región de;Mujeres;Centro Privado;No consta;0
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Total;Total;4.982
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Total;Usuario experto;606
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Total;Usuario de nivel avanzado;3.401
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Total;Usuario de nivel básico;928
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Total;No usuario de las TIC;15
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Total;No consta;31
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Total;2.896
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Usuario experto;301
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Usuario de nivel avanzado;1.999
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Público;Usuario de nivel básico;580
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Público;No consta;17
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Total;2.086
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Usuario experto;306
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Usuario de nivel avanzado;1.403
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;Usuario de nivel básico;348
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;No usuario de las TIC;15
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;Centro Privado;No consta;15
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Total;Total;2.441
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Total;Usuario experto;388
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Total;Usuario de nivel avanzado;1.537
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Total;Usuario de nivel básico;470
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Total;No usuario de las TIC;15
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Total;No consta;31
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Público;Total;1.397
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Público;Usuario experto;182
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Público;Usuario de nivel avanzado;891
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Público;Usuario de nivel básico;308
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Público;No consta;17
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Privado;Total;1.044
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Privado;Usuario experto;206
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Privado;Usuario de nivel avanzado;646
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Privado;Usuario de nivel básico;162
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Privado;No usuario de las TIC;15
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;Centro Privado;No consta;15
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Total;Total;2.541
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Total;Usuario experto;218
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Total;Usuario de nivel avanzado;1.864
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Total;Usuario de nivel básico;459
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Total;No usuario de las TIC;0
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Total;No consta;0
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Público;Total;1.499
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Público;Usuario experto;119
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Público;Usuario de nivel avanzado;1.107
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Público;Usuario de nivel básico;273
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Público;No consta;0
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Privado;Total;1.042
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Privado;Usuario experto;99
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Privado;Usuario de nivel avanzado;757
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Privado;Usuario de nivel básico;186
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;Centro Privado;No consta;0
Total Nacional;16 País Vasco;Ambos sexos;Total;Total;14.865
Total Nacional;16 País Vasco;Ambos sexos;Total;Usuario experto;2.121
Total Nacional;16 País Vasco;Ambos sexos;Total;Usuario de nivel avanzado;10.483
Total Nacional;16 País Vasco;Ambos sexos;Total;Usuario de nivel básico;2.219
Total Nacional;16 País Vasco;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;16 País Vasco;Ambos sexos;Total;No consta;43
Total Nacional;16 País Vasco;Ambos sexos;Centro Público;Total;6.461
Total Nacional;16 País Vasco;Ambos sexos;Centro Público;Usuario experto;553
Total Nacional;16 País Vasco;Ambos sexos;Centro Público;Usuario de nivel avanzado;4.848
Total Nacional;16 País Vasco;Ambos sexos;Centro Público;Usuario de nivel básico;1.017
Total Nacional;16 País Vasco;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;16 País Vasco;Ambos sexos;Centro Público;No consta;43
Total Nacional;16 País Vasco;Ambos sexos;Centro Privado;Total;8.404
Total Nacional;16 País Vasco;Ambos sexos;Centro Privado;Usuario experto;1.567
Total Nacional;16 País Vasco;Ambos sexos;Centro Privado;Usuario de nivel avanzado;5.635
Total Nacional;16 País Vasco;Ambos sexos;Centro Privado;Usuario de nivel básico;1.202
Total Nacional;16 País Vasco;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;16 País Vasco;Ambos sexos;Centro Privado;No consta;0
Total Nacional;16 País Vasco;Hombres;Total;Total;7.352
Total Nacional;16 País Vasco;Hombres;Total;Usuario experto;1.554
Total Nacional;16 País Vasco;Hombres;Total;Usuario de nivel avanzado;5.064
Total Nacional;16 País Vasco;Hombres;Total;Usuario de nivel básico;734
Total Nacional;16 País Vasco;Hombres;Total;No usuario de las TIC;0
Total Nacional;16 País Vasco;Hombres;Total;No consta;0
Total Nacional;16 País Vasco;Hombres;Centro Público;Total;3.116
Total Nacional;16 País Vasco;Hombres;Centro Público;Usuario experto;468
Total Nacional;16 País Vasco;Hombres;Centro Público;Usuario de nivel avanzado;2.403
Total Nacional;16 País Vasco;Hombres;Centro Público;Usuario de nivel básico;245
Total Nacional;16 País Vasco;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;16 País Vasco;Hombres;Centro Público;No consta;0
Total Nacional;16 País Vasco;Hombres;Centro Privado;Total;4.236
Total Nacional;16 País Vasco;Hombres;Centro Privado;Usuario experto;1.086
Total Nacional;16 País Vasco;Hombres;Centro Privado;Usuario de nivel avanzado;2.661
Total Nacional;16 País Vasco;Hombres;Centro Privado;Usuario de nivel básico;489
Total Nacional;16 País Vasco;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;16 País Vasco;Hombres;Centro Privado;No consta;0
Total Nacional;16 País Vasco;Mujeres;Total;Total;7.513
Total Nacional;16 País Vasco;Mujeres;Total;Usuario experto;567
Total Nacional;16 País Vasco;Mujeres;Total;Usuario de nivel avanzado;5.418
Total Nacional;16 País Vasco;Mujeres;Total;Usuario de nivel básico;1.485
Total Nacional;16 País Vasco;Mujeres;Total;No usuario de las TIC;0
Total Nacional;16 País Vasco;Mujeres;Total;No consta;43
Total Nacional;16 País Vasco;Mujeres;Centro Público;Total;3.345
Total Nacional;16 País Vasco;Mujeres;Centro Público;Usuario experto;86
Total Nacional;16 País Vasco;Mujeres;Centro Público;Usuario de nivel avanzado;2.444
Total Nacional;16 País Vasco;Mujeres;Centro Público;Usuario de nivel básico;772
Total Nacional;16 País Vasco;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;16 País Vasco;Mujeres;Centro Público;No consta;43
Total Nacional;16 País Vasco;Mujeres;Centro Privado;Total;4.168
Total Nacional;16 País Vasco;Mujeres;Centro Privado;Usuario experto;481
Total Nacional;16 País Vasco;Mujeres;Centro Privado;Usuario de nivel avanzado;2.974
Total Nacional;16 País Vasco;Mujeres;Centro Privado;Usuario de nivel básico;713
Total Nacional;16 País Vasco;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;16 País Vasco;Mujeres;Centro Privado;No consta;0
Total Nacional;17 Rioja, La;Ambos sexos;Total;Total;2.096
Total Nacional;17 Rioja, La;Ambos sexos;Total;Usuario experto;390
Total Nacional;17 Rioja, La;Ambos sexos;Total;Usuario de nivel avanzado;1.194
Total Nacional;17 Rioja, La;Ambos sexos;Total;Usuario de nivel básico;505
Total Nacional;17 Rioja, La;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Ambos sexos;Total;No consta;7
Total Nacional;17 Rioja, La;Ambos sexos;Centro Público;Total;1.247
Total Nacional;17 Rioja, La;Ambos sexos;Centro Público;Usuario experto;264
Total Nacional;17 Rioja, La;Ambos sexos;Centro Público;Usuario de nivel avanzado;676
Total Nacional;17 Rioja, La;Ambos sexos;Centro Público;Usuario de nivel básico;300
Total Nacional;17 Rioja, La;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Ambos sexos;Centro Público;No consta;7
Total Nacional;17 Rioja, La;Ambos sexos;Centro Privado;Total;849
Total Nacional;17 Rioja, La;Ambos sexos;Centro Privado;Usuario experto;126
Total Nacional;17 Rioja, La;Ambos sexos;Centro Privado;Usuario de nivel avanzado;518
Total Nacional;17 Rioja, La;Ambos sexos;Centro Privado;Usuario de nivel básico;205
Total Nacional;17 Rioja, La;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Ambos sexos;Centro Privado;No consta;0
Total Nacional;17 Rioja, La;Hombres;Total;Total;996
Total Nacional;17 Rioja, La;Hombres;Total;Usuario experto;270
Total Nacional;17 Rioja, La;Hombres;Total;Usuario de nivel avanzado;521
Total Nacional;17 Rioja, La;Hombres;Total;Usuario de nivel básico;197
Total Nacional;17 Rioja, La;Hombres;Total;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Hombres;Total;No consta;7
Total Nacional;17 Rioja, La;Hombres;Centro Público;Total;592
Total Nacional;17 Rioja, La;Hombres;Centro Público;Usuario experto;170
Total Nacional;17 Rioja, La;Hombres;Centro Público;Usuario de nivel avanzado;311
Total Nacional;17 Rioja, La;Hombres;Centro Público;Usuario de nivel básico;104
Total Nacional;17 Rioja, La;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Hombres;Centro Público;No consta;7
Total Nacional;17 Rioja, La;Hombres;Centro Privado;Total;404
Total Nacional;17 Rioja, La;Hombres;Centro Privado;Usuario experto;100
Total Nacional;17 Rioja, La;Hombres;Centro Privado;Usuario de nivel avanzado;210
Total Nacional;17 Rioja, La;Hombres;Centro Privado;Usuario de nivel básico;94
Total Nacional;17 Rioja, La;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Hombres;Centro Privado;No consta;0
Total Nacional;17 Rioja, La;Mujeres;Total;Total;1.100
Total Nacional;17 Rioja, La;Mujeres;Total;Usuario experto;120
Total Nacional;17 Rioja, La;Mujeres;Total;Usuario de nivel avanzado;673
Total Nacional;17 Rioja, La;Mujeres;Total;Usuario de nivel básico;308
Total Nacional;17 Rioja, La;Mujeres;Total;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Mujeres;Total;No consta;0
Total Nacional;17 Rioja, La;Mujeres;Centro Público;Total;655
Total Nacional;17 Rioja, La;Mujeres;Centro Público;Usuario experto;94
Total Nacional;17 Rioja, La;Mujeres;Centro Público;Usuario de nivel avanzado;365
Total Nacional;17 Rioja, La;Mujeres;Centro Público;Usuario de nivel básico;197
Total Nacional;17 Rioja, La;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Mujeres;Centro Público;No consta;0
Total Nacional;17 Rioja, La;Mujeres;Centro Privado;Total;445
Total Nacional;17 Rioja, La;Mujeres;Centro Privado;Usuario experto;26
Total Nacional;17 Rioja, La;Mujeres;Centro Privado;Usuario de nivel avanzado;308
Total Nacional;17 Rioja, La;Mujeres;Centro Privado;Usuario de nivel básico;111
Total Nacional;17 Rioja, La;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;17 Rioja, La;Mujeres;Centro Privado;No consta;0
Total Nacional;18 Ceuta;Ambos sexos;Total;Total;638
Total Nacional;18 Ceuta;Ambos sexos;Total;Usuario experto;105
Total Nacional;18 Ceuta;Ambos sexos;Total;Usuario de nivel avanzado;358
Total Nacional;18 Ceuta;Ambos sexos;Total;Usuario de nivel básico;175
Total Nacional;18 Ceuta;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;18 Ceuta;Ambos sexos;Total;No consta;0
Total Nacional;18 Ceuta;Ambos sexos;Centro Público;Total;432
Total Nacional;18 Ceuta;Ambos sexos;Centro Público;Usuario experto;87
Total Nacional;18 Ceuta;Ambos sexos;Centro Público;Usuario de nivel avanzado;244
Total Nacional;18 Ceuta;Ambos sexos;Centro Público;Usuario de nivel básico;102
Total Nacional;18 Ceuta;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;18 Ceuta;Ambos sexos;Centro Público;No consta;0
Total Nacional;18 Ceuta;Ambos sexos;Centro Privado;Total;206
Total Nacional;18 Ceuta;Ambos sexos;Centro Privado;Usuario experto;19
Total Nacional;18 Ceuta;Ambos sexos;Centro Privado;Usuario de nivel avanzado;114
Total Nacional;18 Ceuta;Ambos sexos;Centro Privado;Usuario de nivel básico;74
Total Nacional;18 Ceuta;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;18 Ceuta;Ambos sexos;Centro Privado;No consta;0
Total Nacional;18 Ceuta;Hombres;Total;Total;281
Total Nacional;18 Ceuta;Hombres;Total;Usuario experto;82
Total Nacional;18 Ceuta;Hombres;Total;Usuario de nivel avanzado;128
Total Nacional;18 Ceuta;Hombres;Total;Usuario de nivel básico;71
Total Nacional;18 Ceuta;Hombres;Total;No usuario de las TIC;0
Total Nacional;18 Ceuta;Hombres;Total;No consta;0
Total Nacional;18 Ceuta;Hombres;Centro Público;Total;182
Total Nacional;18 Ceuta;Hombres;Centro Público;Usuario experto;69
Total Nacional;18 Ceuta;Hombres;Centro Público;Usuario de nivel avanzado;73
Total Nacional;18 Ceuta;Hombres;Centro Público;Usuario de nivel básico;40
Total Nacional;18 Ceuta;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;18 Ceuta;Hombres;Centro Público;No consta;0
Total Nacional;18 Ceuta;Hombres;Centro Privado;Total;99
Total Nacional;18 Ceuta;Hombres;Centro Privado;Usuario experto;13
Total Nacional;18 Ceuta;Hombres;Centro Privado;Usuario de nivel avanzado;55
Total Nacional;18 Ceuta;Hombres;Centro Privado;Usuario de nivel básico;31
Total Nacional;18 Ceuta;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;18 Ceuta;Hombres;Centro Privado;No consta;0
Total Nacional;18 Ceuta;Mujeres;Total;Total;357
Total Nacional;18 Ceuta;Mujeres;Total;Usuario experto;23
Total Nacional;18 Ceuta;Mujeres;Total;Usuario de nivel avanzado;230
Total Nacional;18 Ceuta;Mujeres;Total;Usuario de nivel básico;104
Total Nacional;18 Ceuta;Mujeres;Total;No usuario de las TIC;0
Total Nacional;18 Ceuta;Mujeres;Total;No consta;0
Total Nacional;18 Ceuta;Mujeres;Centro Público;Total;250
Total Nacional;18 Ceuta;Mujeres;Centro Público;Usuario experto;17
Total Nacional;18 Ceuta;Mujeres;Centro Público;Usuario de nivel avanzado;170
Total Nacional;18 Ceuta;Mujeres;Centro Público;Usuario de nivel básico;62
Total Nacional;18 Ceuta;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;18 Ceuta;Mujeres;Centro Público;No consta;0
Total Nacional;18 Ceuta;Mujeres;Centro Privado;Total;107
Total Nacional;18 Ceuta;Mujeres;Centro Privado;Usuario experto;6
Total Nacional;18 Ceuta;Mujeres;Centro Privado;Usuario de nivel avanzado;59
Total Nacional;18 Ceuta;Mujeres;Centro Privado;Usuario de nivel básico;42
Total Nacional;18 Ceuta;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;18 Ceuta;Mujeres;Centro Privado;No consta;0
Total Nacional;19 Melilla;Ambos sexos;Total;Total;720
Total Nacional;19 Melilla;Ambos sexos;Total;Usuario experto;128
Total Nacional;19 Melilla;Ambos sexos;Total;Usuario de nivel avanzado;371
Total Nacional;19 Melilla;Ambos sexos;Total;Usuario de nivel básico;203
Total Nacional;19 Melilla;Ambos sexos;Total;No usuario de las TIC;6
Total Nacional;19 Melilla;Ambos sexos;Total;No consta;13
Total Nacional;19 Melilla;Ambos sexos;Centro Público;Total;618
Total Nacional;19 Melilla;Ambos sexos;Centro Público;Usuario experto;128
Total Nacional;19 Melilla;Ambos sexos;Centro Público;Usuario de nivel avanzado;327
Total Nacional;19 Melilla;Ambos sexos;Centro Público;Usuario de nivel básico;157
Total Nacional;19 Melilla;Ambos sexos;Centro Público;No usuario de las TIC;6
Total Nacional;19 Melilla;Ambos sexos;Centro Público;No consta;0
Total Nacional;19 Melilla;Ambos sexos;Centro Privado;Total;102
Total Nacional;19 Melilla;Ambos sexos;Centro Privado;Usuario experto;0
Total Nacional;19 Melilla;Ambos sexos;Centro Privado;Usuario de nivel avanzado;43
Total Nacional;19 Melilla;Ambos sexos;Centro Privado;Usuario de nivel básico;46
Total Nacional;19 Melilla;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;19 Melilla;Ambos sexos;Centro Privado;No consta;13
Total Nacional;19 Melilla;Hombres;Total;Total;332
Total Nacional;19 Melilla;Hombres;Total;Usuario experto;74
Total Nacional;19 Melilla;Hombres;Total;Usuario de nivel avanzado;172
Total Nacional;19 Melilla;Hombres;Total;Usuario de nivel básico;81
Total Nacional;19 Melilla;Hombres;Total;No usuario de las TIC;6
Total Nacional;19 Melilla;Hombres;Total;No consta;0
Total Nacional;19 Melilla;Hombres;Centro Público;Total;292
Total Nacional;19 Melilla;Hombres;Centro Público;Usuario experto;74
Total Nacional;19 Melilla;Hombres;Centro Público;Usuario de nivel avanzado;152
Total Nacional;19 Melilla;Hombres;Centro Público;Usuario de nivel básico;61
Total Nacional;19 Melilla;Hombres;Centro Público;No usuario de las TIC;6
Total Nacional;19 Melilla;Hombres;Centro Público;No consta;0
Total Nacional;19 Melilla;Hombres;Centro Privado;Total;40
Total Nacional;19 Melilla;Hombres;Centro Privado;Usuario experto;0
Total Nacional;19 Melilla;Hombres;Centro Privado;Usuario de nivel avanzado;20
Total Nacional;19 Melilla;Hombres;Centro Privado;Usuario de nivel básico;20
Total Nacional;19 Melilla;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;19 Melilla;Hombres;Centro Privado;No consta;0
Total Nacional;19 Melilla;Mujeres;Total;Total;388
Total Nacional;19 Melilla;Mujeres;Total;Usuario experto;55
Total Nacional;19 Melilla;Mujeres;Total;Usuario de nivel avanzado;199
Total Nacional;19 Melilla;Mujeres;Total;Usuario de nivel básico;122
Total Nacional;19 Melilla;Mujeres;Total;No usuario de las TIC;0
Total Nacional;19 Melilla;Mujeres;Total;No consta;13
Total Nacional;19 Melilla;Mujeres;Centro Público;Total;326
Total Nacional;19 Melilla;Mujeres;Centro Público;Usuario experto;55
Total Nacional;19 Melilla;Mujeres;Centro Público;Usuario de nivel avanzado;175
Total Nacional;19 Melilla;Mujeres;Centro Público;Usuario de nivel básico;96
Total Nacional;19 Melilla;Mujeres;Centro Público;No usuario de las TIC;0
